cluster,id
3,UR247709928
3,UR971378677
6,UR617856104
3,UR842089830
3,UR523233209
6,UR706141728
6,UR817716605
2,UR140163498
3,UR239701431
2,UR975874471
6,UR144754680
3,UR705099162
2,UR224885370
6,UR162075615
6,UR236243145
2,UR650879600
5,UR487318098
2,UR390946476
2,UR795672625
7,UR951875833
6,UR301774220
3,UR638999581
6,UR215852270
2,UR648798935
1,UR159834563
2,UR271590340
2,UR261138013
9,UR327126397
5,UR609761990
6,UR661656468
8,UR999616838
3,UR311859288
3,UR835960090
2,UR100113191
2,UR316625788
2,UR990398153
3,UR930948511
6,UR106688763
3,UR452216246
3,UR226269842
6,UR133324585
0,UR953499626
2,UR548853532
2,UR365161166
4,UR250632106
2,UR822760237
2,UR972901961
2,UR798551410
