cluster,id
3,UR5438186
6,UR121631295
2,UR104417533
3,UR5791192
2,UR64069125
2,UR6153661
3,UR5049071
1,UR6364619
2,UR28358155
8,UR58936236
6,UR125949495
4,UR55826674
6,UR115432119
8,UR125628434
8,UR66921747
6,UR3912499
6,UR77174464
8,UR80663892
6,UR16773291
1,UR61634936
2,UR4722854
1,UR59038595
3,UR77287449
6,UR7286725
3,UR4723151
2,UR4219598
6,UR59541769
3,UR82898844
3,UR116088012
6,UR51074628
1,UR113462507
1,UR61626944
8,UR26226988
2,UR90844350
2,UR104209819
8,UR119034444
2,UR4581476
2,UR116091149
3,UR70631296
6,UR8490091
3,UR6527559
8,UR126241107
6,UR115672366
3,UR100759929
6,UR74829888
2,UR46230863
2,UR119293076
2,UR4319004
8,UR62967187
1,UR12218855
3,UR120797008
3,UR122635893
6,UR98024894
2,UR58044359
1,UR45513790
9,UR123391444
2,UR124689164
8,UR96333503
2,UR101446111
6,UR15386879
3,UR118539929
6,UR114990108
6,UR81256777
3,UR93804258
6,UR35113567
2,UR121440354
2,UR56835640
2,UR15038399
3,UR19840042
3,UR13660608
2,UR5225832
3,UR55899121
3,UR16929434
2,UR96524808
3,UR121387666
6,UR5005499
6,UR119002277
3,UR47667879
6,UR64172625
6,UR80068724
6,UR47291283
7,UR124400681
2,UR99048820
6,UR107985374
7,UR5406014
6,UR7937601
6,UR116451610
6,UR35842735
6,UR68599623
1,UR46650388
6,UR7731609
2,UR8368621
6,UR6438434
2,UR103645044
3,UR102491542
6,UR118611833
4,UR3788105
8,UR14248805
8,UR106687726
8,UR63785009
8,UR124687515
6,UR5525668
1,UR7293798
3,UR8660477
2,UR125007032
6,UR114619389
2,UR121056348
4,UR6035070
1,UR5420612
2,UR3477233
6,UR84872519
6,UR77893611
2,UR19532841
3,UR91021673
2,UR8715820
2,UR77439866
6,UR120640296
3,UR7829640
3,UR111836540
2,UR118723643
5,UR54326166
6,UR119913693
8,UR102827267
2,UR115817763
2,UR4368429
6,UR123923946
2,UR113465316
8,UR67392224
2,UR115553721
1,UR125965994
6,UR107436288
6,UR6505681
2,UR120346625
2,UR24326860
8,UR124592105
8,UR13909231
6,UR122719871
6,UR57568368
0,UR124352000
2,UR112003676
3,UR76371171
2,UR68533108
2,UR56710169
6,UR113247340
6,UR6101587
5,UR65972394
1,UR4002216
2,UR80099470
3,UR39028654
6,UR125062190
6,UR94282340
6,UR116793231
3,UR105325413
2,UR3490526
2,UR122180818
6,UR3724085
8,UR85415827
6,UR4725853
3,UR58292629
2,UR118515631
6,UR124341596
2,UR120217989
2,UR115161421
6,UR115013505
6,UR7684217
2,UR36455255
6,UR5193067
3,UR120079911
6,UR60104793
2,UR115097260
3,UR5229691
6,UR72895168
5,UR18858020
1,UR6902383
2,UR124044834
2,UR4595578
1,UR6764872
2,UR109041462
2,UR84316855
3,UR123266005
6,UR4359040
1,UR38419953
6,UR4615703
1,UR109696832
2,UR3912365
6,UR105158976
2,UR3744087
