cluster,id
8,UR81679540
2,UR118028741
2,UR125476152
6,UR108028348
3,UR103147335
2,UR31791607
9,UR92449093
6,UR92715023
2,UR49577146
6,UR92723345
2,UR119743607
3,UR116974686
0,UR12853818
2,UR11213131
5,UR114774388
3,UR92429788
6,UR92485490
3,UR123546228
3,UR56845280
3,UR125847430
3,UR114621655
6,UR114987146
3,UR116210308
3,UR125258312
3,UR126526532
8,UR92826992
1,UR111280573
3,UR88477547
3,UR117564073
2,UR67216950
6,UR75210837
3,UR126204447
2,UR119642288
2,UR121265599
1,UR119168049
2,UR91804453
2,UR116287412
3,UR50113466
3,UR117183081
3,UR103042384
8,UR122556394
3,UR126614283
6,UR11116081
3,UR113751374
8,UR117640998
3,UR20832603
8,UR95563154
9,UR126399385
2,UR19152115
2,UR89454960
3,UR119515678
2,UR79761167
6,UR84897587
8,UR118622034
2,UR121928551
2,UR54763071
2,UR84454797
2,UR111945229
2,UR124473878
2,UR59107658
3,UR116221552
6,UR117725307
2,UR29312980
2,UR120745470
3,UR117909912
3,UR10433013
2,UR105257830
8,UR115054185
6,UR126198126
7,UR124827520
3,UR125254899
2,UR124799242
4,UR124173258
2,UR34597023
8,UR120343958
8,UR78788755
3,UR92487094
9,UR20959168
6,UR117262766
3,UR100009703
3,UR19022596
6,UR121330617
9,UR121419435
2,UR34244299
2,UR92013300
2,UR119492637
8,UR92472482
3,UR51501962
6,UR117331253
2,UR122574534
3,UR61921641
3,UR92442765
0,UR122394136
