cluster,id
6,UR125726076
2,UR49567597
2,UR118488954
6,UR4966278
6,UR122697397
6,UR5025513
9,UR5204905
2,UR30602140
3,UR77575159
2,UR72801162
3,UR17710914
3,UR124757773
3,UR87717916
3,UR118016289
2,UR86039827
2,UR73218934
3,UR5791490
3,UR123189624
2,UR120037778
2,UR84704918
6,UR55680044
2,UR84583874
6,UR122379926
3,UR116198207
2,UR114251761
6,UR36437716
6,UR100681601
2,UR4399030
6,UR24194298
2,UR64418745
3,UR5899027
2,UR102199312
6,UR7775851
3,UR84671235
0,UR83755031
6,UR83151978
4,UR119807381
3,UR88859960
2,UR8221352
3,UR47948528
2,UR4976603
3,UR115318620
2,UR119121067
6,UR112519347
2,UR4984679
3,UR126866830
8,UR125043252
2,UR32426691
6,UR7986560
3,UR5501865
1,UR77049123
2,UR120312378
2,UR64087707
3,UR3900847
2,UR53304615
7,UR117880572
3,UR78897608
5,UR28300584
3,UR123239410
7,UR4828520
2,UR115457836
7,UR7595061
6,UR81969621
2,UR36646174
3,UR3981992
0,UR52128104
2,UR13816547
