cluster,id
2,UR7164693
0,UR3725457
1,UR56831840
9,UR28497421
6,UR120915047
1,UR47439043
1,UR67578586
9,UR121338455
9,UR115950711
1,UR100628327
1,UR6231013
0,UR118858684
5,UR49709183
9,UR31210019
4,UR115854648
9,UR6599402
0,UR45276334
0,UR25469645
0,UR101279049
6,UR116595149
2,UR5316591
2,UR122996148
6,UR117152871
9,UR12693961
2,UR86011836
0,UR123306623
2,UR3694191
5,UR15831359
2,UR123393725
9,UR46405714
9,UR38615133
9,UR86368181
0,UR51492078
9,UR4742302
1,UR101721763
1,UR6150034
1,UR71412971
2,UR97513588
9,UR121176206
1,UR122822786
0,UR7927253
9,UR125140963
2,UR118127129
1,UR121105074
0,UR120585750
9,UR38061187
6,UR23267522
4,UR97867872
9,UR117548952
0,UR11882749
0,UR10961939
7,UR24722805
6,UR124724868
0,UR96819982
1,UR5913723
7,UR2758940
0,UR3445144
3,UR77077911
4,UR17606235
9,UR121211136
9,UR116015708
6,UR88044767
2,UR95788516
5,UR113774420
6,UR117771825
1,UR117300442
2,UR116300198
2,UR115087253
9,UR85976580
3,UR124898181
5,UR53058039
9,UR116563201
0,UR71809676
0,UR45900858
2,UR89902530
6,UR6310655
1,UR41990775
1,UR113879328
1,UR5296290
1,UR4247364
2,UR2856063
6,UR6542385
2,UR3934239
3,UR125002305
1,UR121066837
5,UR117752288
1,UR105852308
3,UR126597237
6,UR119109652
1,UR68427498
9,UR72578200
5,UR115430592
6,UR81963550
6,UR4957141
9,UR39337950
1,UR116675934
2,UR116422094
0,UR3549188
1,UR20726608
1,UR6823239
1,UR33679455
0,UR116890971
3,UR56369145
5,UR49354289
2,UR119986134
2,UR34026806
2,UR17307806
4,UR5613469
2,UR64865216
6,UR114707121
2,UR119101939
9,UR67382938
2,UR125760890
5,UR66234935
6,UR124338933
4,UR125332510
1,UR115508969
1,UR34840290
0,UR116539958
5,UR67677060
2,UR118836582
2,UR74529096
1,UR32769128
2,UR117524808
0,UR102062185
2,UR68704063
4,UR102659573
6,UR115500604
6,UR50241780
2,UR18555597
6,UR116858108
1,UR2834570
2,UR74558184
1,UR24238604
9,UR8590590
2,UR30301268
6,UR120956940
2,UR79971283
2,UR89006068
1,UR87727168
2,UR79251803
1,UR6156098
0,UR10086998
1,UR117565195
3,UR115739017
5,UR103827461
6,UR12477038
3,UR116580825
1,UR8000516
0,UR118214100
6,UR8677526
0,UR121973524
6,UR5573730
2,UR21230265
3,UR87894127
0,UR124213410
9,UR115944115
5,UR118208394
9,UR7900028
6,UR119252006
2,UR4142261
1,UR7193445
3,UR58908973
0,UR6131020
1,UR88578593
1,UR126548779
0,UR116220358
2,UR58379745
1,UR11097004
6,UR82729314
1,UR59264791
2,UR117882766
6,UR82065992
1,UR124986706
6,UR102169871
9,UR19606807
6,UR54720444
1,UR53227227
9,UR64968785
1,UR32529778
1,UR7267709
1,UR6786916
0,UR105811118
6,UR33073975
9,UR18361142
0,UR115775093
2,UR116966116
1,UR54032912
2,UR17213120
2,UR115450602
0,UR116769968
3,UR52911588
1,UR125003691
6,UR116380232
5,UR72483952
6,UR6436751
5,UR120536800
3,UR66639871
9,UR4003004
0,UR119438202
0,UR121664844
3,UR39919611
1,UR108541620
6,UR43828438
4,UR126068329
6,UR116957409
1,UR43133339
2,UR120753579
6,UR65174000
0,UR124908293
3,UR12218979
2,UR123692127
2,UR13744887
2,UR32731304
5,UR44180282
1,UR5045633
5,UR123925995
1,UR112908216
0,UR4164469
6,UR52044958
0,UR5899185
9,UR75227776
2,UR3728001
1,UR79682244
7,UR8363748
2,UR3710204
0,UR117205113
2,UR114903531
3,UR118908281
2,UR122662426
6,UR16286731
9,UR6446905
6,UR123395769
1,UR96651817
5,UR103646513
9,UR4105693
9,UR114834976
2,UR4014448
1,UR113326856
2,UR73720526
1,UR114588100
9,UR115482968
9,UR14720111
4,UR68419415
0,UR104970461
2,UR67854446
1,UR10733098
2,UR71946209
0,UR108115481
1,UR34298501
0,UR5594408
5,UR56131451
0,UR69394952
6,UR51865460
0,UR72934974
2,UR20826300
6,UR2884834
1,UR5512447
3,UR104089048
5,UR113168373
6,UR8402701
2,UR3946084
1,UR122260084
5,UR120840499
3,UR124940735
2,UR65787282
9,UR29720131
1,UR123105615
6,UR38208155
4,UR115923121
9,UR76287938
2,UR121088679
7,UR16377523
2,UR110744221
6,UR122575795
9,UR5042788
9,UR35741118
6,UR56230387
1,UR120874016
2,UR124085623
1,UR8454282
9,UR19624993
6,UR35074291
2,UR117772738
7,UR7179751
0,UR115170494
0,UR34682747
9,UR82681960
6,UR16002781
0,UR124927077
5,UR28876270
2,UR125663791
2,UR120797300
9,UR114838962
7,UR83943934
6,UR58034330
3,UR115403879
2,UR6814718
2,UR10020664
3,UR6829408
7,UR74979046
0,UR115340392
3,UR93897904
6,UR110406752
7,UR24180779
2,UR116326452
1,UR61165116
2,UR115023304
6,UR5540465
2,UR115717485
9,UR65643008
9,UR118669000
3,UR21155379
1,UR121644074
1,UR117255432
1,UR115796314
2,UR21504233
6,UR120773114
1,UR5471959
0,UR24676470
2,UR126061483
6,UR18584764
9,UR104847105
2,UR15716202
0,UR8511391
2,UR118623149
6,UR3619144
2,UR118352944
5,UR85219815
6,UR66446296
0,UR29089192
6,UR7856672
9,UR68228632
2,UR115417457
5,UR5232265
2,UR36060234
7,UR72288521
1,UR79545716
6,UR80307989
0,UR45598529
2,UR120568351
5,UR22071961
0,UR57321325
2,UR114916477
6,UR49130556
2,UR38301305
1,UR16835952
6,UR111198231
1,UR12010819
2,UR60937046
6,UR5880459
3,UR48376295
