cluster,id
2,UR131558588
2,UR119205529
2,UR126688430
3,UR131232395
9,UR132329529
3,UR88420245
6,UR136544748
2,UR126358763
2,UR131531043
6,UR131170985
2,UR117419694
3,UR137708715
3,UR94863168
3,UR139499400
2,UR123015656
2,UR120624205
3,UR126902764
5,UR132381199
6,UR124539773
2,UR133988379
2,UR131116852
2,UR113737043
3,UR138835118
3,UR122529909
2,UR123871216
2,UR127605966
6,UR120354705
2,UR115406966
3,UR120380829
2,UR123350972
2,UR127407734
7,UR135456787
6,UR126774376
2,UR134142076
3,UR92691854
6,UR123925495
3,UR122455009
2,UR138086810
8,UR115504806
4,UR102867010
2,UR82166137
2,UR115266153
6,UR124267047
0,UR128383346
2,UR116976239
2,UR129053516
9,UR81585212
1,UR118069993
2,UR116357063
2,UR134342988
