cluster,id
2,UR72325497
2,UR99237667
1,UR121555336
5,UR115610773
0,UR79154619
2,UR121395737
3,UR118709075
0,UR121549606
6,UR71692357
2,UR123998815
2,UR122051650
5,UR115938310
2,UR116426243
3,UR83397053
1,UR121642070
1,UR121912374
5,UR125591522
6,UR49011995
6,UR114707265
6,UR84703709
6,UR109934832
5,UR119442188
2,UR69889961
2,UR76288395
2,UR95243958
6,UR55317810
2,UR123078774
1,UR100248402
2,UR122303572
6,UR47212941
2,UR119099794
3,UR121095419
6,UR47063327
6,UR87286519
5,UR124292250
5,UR124217302
6,UR58742565
0,UR59344309
5,UR120746008
0,UR106256270
6,UR124945794
5,UR121004778
5,UR125373976
3,UR86836257
3,UR112056408
6,UR126624866
6,UR45913832
2,UR124920100
3,UR46935491
0,UR101633745
2,UR104496038
5,UR80356856
0,UR117987416
5,UR116866603
6,UR60781850
3,UR119843470
6,UR118263751
2,UR37196770
2,UR122032549
6,UR77240605
6,UR125695504
5,UR63111731
0,UR59049444
6,UR126800512
2,UR115848029
6,UR59278580
2,UR114768336
2,UR115194955
2,UR123193193
2,UR118093209
1,UR117537589
3,UR94688013
4,UR123710050
0,UR108571806
6,UR126041921
2,UR102689541
0,UR116684391
2,UR124798936
6,UR37988637
6,UR78858163
2,UR121806465
2,UR124891623
2,UR109487348
1,UR126431789
3,UR122357141
2,UR122345510
6,UR52234091
6,UR37778226
6,UR121173564
6,UR106538880
5,UR107301917
6,UR124797513
2,UR123467855
6,UR65114311
6,UR120495841
3,UR38704950
5,UR119346363
6,UR120663052
2,UR123233320
9,UR115356863
2,UR113535292
2,UR121129429
6,UR57837719
6,UR121144992
6,UR53967611
6,UR118933454
4,UR115002571
6,UR121211101
6,UR73177749
3,UR68441549
6,UR66092565
5,UR46181837
2,UR120447982
6,UR121905304
6,UR123355395
6,UR62910378
6,UR118009456
5,UR120094061
3,UR40620830
6,UR77602516
2,UR53866274
2,UR118544870
2,UR80747582
6,UR122337575
2,UR69967650
6,UR118564316
3,UR115021169
6,UR119031732
0,UR38569270
2,UR115909997
6,UR39798848
2,UR120934395
2,UR45956625
2,UR76114446
3,UR125072836
0,UR119554482
2,UR123704615
2,UR123850868
6,UR88763714
3,UR97593475
6,UR75368183
6,UR72562196
2,UR65225262
5,UR111445447
2,UR124970987
6,UR76523515
6,UR119304855
3,UR117724864
6,UR125590489
6,UR75318682
6,UR89750182
6,UR118655767
5,UR65269461
2,UR121974092
0,UR123972844
0,UR37157603
1,UR38053816
2,UR116032003
5,UR118932118
2,UR48196444
5,UR125874146
2,UR68685644
6,UR55427319
1,UR117439980
5,UR62620859
6,UR98689801
1,UR89356949
0,UR38703830
5,UR122153421
6,UR78136422
5,UR84799239
0,UR51075868
6,UR70943368
5,UR70046003
0,UR124320541
2,UR125654895
6,UR41166158
1,UR91439486
6,UR45328113
3,UR120883919
6,UR121077340
6,UR117317404
0,UR109272015
2,UR48509184
5,UR119513029
2,UR117075545
1,UR118515804
3,UR116275762
1,UR122930030
6,UR69425606
2,UR91165999
7,UR80328433
5,UR123550243
2,UR54286974
2,UR40056355
2,UR126525768
0,UR77704830
6,UR125061946
3,UR115214869
2,UR49519662
6,UR126227426
0,UR80966403
2,UR67004994
5,UR94646720
2,UR122378037
3,UR115434211
2,UR119175906
3,UR115752102
2,UR75364564
3,UR126119273
6,UR43684010
5,UR37204138
6,UR56706480
3,UR66369323
5,UR38918076
3,UR83640701
3,UR37832333
0,UR64031151
2,UR46787208
2,UR82509476
2,UR73036199
2,UR68474747
2,UR103109886
6,UR126494287
6,UR47981424
1,UR126445478
2,UR115107523
2,UR112613694
2,UR119642656
0,UR119477260
6,UR114736197
2,UR69757707
2,UR124504785
0,UR47808398
2,UR116057260
6,UR119815426
6,UR117327261
6,UR48027609
6,UR42864911
2,UR121133352
4,UR64404420
2,UR75489787
6,UR119483433
2,UR118507036
6,UR67425356
2,UR49136852
8,UR120152892
1,UR115033561
2,UR71524914
2,UR79219437
2,UR91165949
6,UR60236312
3,UR55891984
5,UR86148948
2,UR118508892
2,UR116063553
5,UR122854421
2,UR114815867
1,UR117043086
6,UR115059781
5,UR54104115
6,UR84460829
0,UR121610920
5,UR118859689
0,UR88758304
6,UR115576885
2,UR39258061
1,UR92689738
5,UR60553750
3,UR37237246
5,UR124418565
6,UR111270685
1,UR52486323
1,UR79263648
6,UR116521808
3,UR116797712
2,UR102400871
6,UR117232101
1,UR122957117
6,UR76485364
2,UR39390240
3,UR81851075
6,UR99965251
6,UR87093642
0,UR71039251
3,UR52011162
0,UR86700131
