cluster,id
8,UR110262633
2,UR115466342
5,UR117798708
6,UR92405909
6,UR111675774
8,UR126842083
2,UR116902022
1,UR119119694
5,UR114700796
2,UR86651285
6,UR103357865
7,UR123410536
6,UR61954591
6,UR115633563
2,UR98608506
2,UR60590138
2,UR74792444
8,UR121031251
9,UR115322580
6,UR66109722
2,UR96630521
2,UR114981067
1,UR91444351
8,UR88701347
5,UR114588271
2,UR97531116
8,UR119671714
1,UR62812796
9,UR88438394
7,UR70305560
2,UR114272944
1,UR123339056
3,UR126422888
8,UR76517544
1,UR97613811
2,UR115319625
2,UR123707302
2,UR70652317
2,UR120076961
2,UR119954292
2,UR83091930
2,UR107715942
2,UR127000711
5,UR115467849
1,UR114322144
3,UR116033653
2,UR123465775
9,UR94160248
1,UR117904664
2,UR78225437
8,UR120094475
6,UR115363347
2,UR115250586
6,UR124672040
6,UR115054369
5,UR103054440
1,UR92105245
3,UR119845750
8,UR64344485
2,UR117083785
2,UR120443607
6,UR120753646
1,UR97092603
1,UR115691043
2,UR117558435
1,UR111503671
2,UR117666904
2,UR115291085
1,UR117413420
2,UR86785102
2,UR79103125
3,UR101746211
6,UR83304290
3,UR121049975
6,UR111367068
6,UR70349332
1,UR59227654
2,UR122636067
2,UR112474872
1,UR117773359
6,UR74693874
6,UR72579269
2,UR126455114
1,UR60124388
6,UR95202786
2,UR117011828
2,UR94086126
5,UR104076881
3,UR118084368
2,UR64464349
7,UR81621415
1,UR117518186
1,UR109727878
2,UR85084755
3,UR60590781
2,UR100199318
2,UR73685327
1,UR102095976
2,UR121730251
6,UR62443860
2,UR50534206
6,UR117191412
6,UR81949599
3,UR59777053
2,UR123517546
2,UR76225234
1,UR79407943
6,UR116281558
6,UR108571163
2,UR126657418
1,UR118663243
8,UR63749465
5,UR109402254
3,UR59430707
6,UR83052508
1,UR83541336
1,UR117944791
2,UR92530714
6,UR114619077
6,UR121269943
3,UR90719175
2,UR118011068
2,UR87933187
9,UR92448094
2,UR63871492
8,UR101526940
1,UR117501793
2,UR109079207
2,UR119645820
5,UR118151549
2,UR122048403
7,UR78271660
8,UR114684965
7,UR91541383
5,UR115937952
6,UR76580147
5,UR99335119
2,UR66749536
1,UR80849561
6,UR110828366
9,UR126957262
9,UR96147447
2,UR85330146
1,UR116422912
6,UR119306885
1,UR80703610
1,UR58414961
6,UR123794077
9,UR112651698
2,UR117838317
2,UR88379520
6,UR120169154
3,UR124689795
2,UR79825583
9,UR115549315
7,UR116070374
7,UR120842902
8,UR117513786
5,UR77879400
2,UR106913436
7,UR54375522
1,UR71826689
3,UR115259396
1,UR124019110
5,UR116288297
2,UR122263789
3,UR45831588
2,UR117699351
3,UR89824707
2,UR117255676
6,UR95000850
2,UR85723724
5,UR118908081
6,UR121074898
2,UR118037446
7,UR126934998
2,UR76685430
2,UR114263679
7,UR124019348
8,UR96675414
1,UR119568522
2,UR78941217
9,UR123816100
7,UR124944693
9,UR121300956
6,UR87292597
3,UR117953204
5,UR103815923
2,UR111892538
3,UR115862811
6,UR123129671
5,UR116135485
6,UR125894525
2,UR126469616
2,UR85788536
8,UR116173225
2,UR102585319
2,UR123563913
8,UR82468983
8,UR117322741
8,UR101670342
6,UR114743416
2,UR116619287
6,UR82901959
5,UR112964023
1,UR114112056
5,UR85868717
2,UR77747965
5,UR81253046
2,UR116193423
5,UR126551743
9,UR120424017
2,UR109954773
6,UR108983986
3,UR126337562
6,UR116439481
9,UR118005026
5,UR114967130
5,UR119075020
6,UR64266719
6,UR115370341
2,UR72499916
6,UR115306576
6,UR70091758
6,UR84003038
5,UR67709905
7,UR71625279
2,UR101935165
3,UR116921124
2,UR116127927
5,UR119538132
1,UR119367325
