cluster,id
2,UR123801883
2,UR8822513
6,UR67136780
3,UR87036556
2,UR124263576
6,UR119514766
3,UR62519362
3,UR10033306
3,UR5397756
2,UR117552893
6,UR123073574
8,UR120208423
3,UR118528232
2,UR117404259
6,UR17255165
2,UR118743545
6,UR88783655
2,UR113300174
6,UR121037130
3,UR114714333
3,UR8281810
6,UR8826955
2,UR94695050
2,UR125863904
2,UR18643942
2,UR121565298
2,UR119597599
3,UR118947574
0,UR114769829
2,UR105272012
2,UR37664603
6,UR117011676
2,UR121128549
2,UR47895100
3,UR123750549
3,UR122616244
3,UR45812329
3,UR4522428
3,UR125381944
2,UR19728170
1,UR116924629
4,UR7682016
3,UR114767624
3,UR10079468
3,UR83074478
2,UR126035210
3,UR122504617
6,UR6552297
7,UR64815221
6,UR125886013
5,UR8680003
6,UR57390843
2,UR26479617
2,UR117955121
6,UR124499345
3,UR6635252
2,UR97370204
2,UR116030173
3,UR96716488
2,UR124920541
2,UR123187450
9,UR87582194
6,UR5497878
2,UR8041865
6,UR18352784
