cluster,id
2,UR84329039
7,UR94035416
6,UR75713828
2,UR23412452
3,UR65489921
2,UR123365278
2,UR120945942
2,UR23241049
6,UR121438865
2,UR30336120
2,UR124444994
6,UR120841026
2,UR122615529
2,UR112986861
6,UR119843133
2,UR58683314
3,UR117297567
4,UR56092754
2,UR117008760
2,UR76908518
2,UR124166895
2,UR108862083
2,UR115000353
6,UR121339862
2,UR29468237
6,UR98454219
2,UR120511815
2,UR113251831
0,UR54045071
2,UR119196140
6,UR103828147
2,UR125698888
2,UR80861906
3,UR114853594
5,UR116486909
3,UR81736386
6,UR91785674
6,UR121106042
6,UR122677205
6,UR44361561
2,UR119266131
6,UR124256333
7,UR87966602
2,UR23691133
1,UR115477481
6,UR123205620
2,UR126361664
7,UR120482778
2,UR92562394
6,UR124854213
2,UR104719834
2,UR116232954
6,UR47733210
6,UR84838188
2,UR71525539
2,UR80376640
6,UR55816162
2,UR118585247
2,UR81044503
1,UR107951811
3,UR60269813
6,UR86435476
2,UR119846135
6,UR109732089
2,UR114823944
6,UR119877486
7,UR114973468
6,UR90123618
6,UR97294572
2,UR66260746
2,UR116221781
2,UR36325794
2,UR120070261
2,UR91628773
2,UR80861894
6,UR118225674
2,UR120656756
2,UR125541294
2,UR120161181
6,UR75066356
9,UR14745059
2,UR95385491
2,UR79246339
6,UR40381591
2,UR116959870
3,UR119189979
3,UR48148641
2,UR11627935
2,UR119500128
2,UR76569608
2,UR117954098
2,UR125791938
2,UR117477795
2,UR126193666
2,UR114114925
8,UR119759005
6,UR90512630
6,UR100334919
2,UR124934448
1,UR117837700
2,UR72197453
