cluster,id
3,UR128092787
2,UR119261854
2,UR105579037
8,UR127745985
2,UR119598398
6,UR127217080
2,UR122322014
2,UR124443379
2,UR127906329
6,UR119710900
2,UR110816752
6,UR119130336
3,UR121461634
7,UR122265836
2,UR124054295
2,UR127647361
2,UR120217472
2,UR126552354
2,UR122719353
2,UR128487363
6,UR117995551
2,UR116959504
0,UR104842525
2,UR116063708
1,UR126001159
6,UR121797365
3,UR127544461
6,UR119316938
2,UR119707314
4,UR128318379
2,UR125852567
3,UR123587165
2,UR124240725
3,UR121546862
2,UR116309241
6,UR123989177
2,UR128425352
6,UR114295952
6,UR114684711
9,UR124508641
3,UR119956367
2,UR124110275
6,UR126569448
3,UR127210449
2,UR127932957
6,UR118186953
6,UR118324277
2,UR126013871
2,UR122446562
6,UR118784844
2,UR120950979
6,UR111218867
2,UR117429488
6,UR116200953
2,UR112697583
5,UR123200061
3,UR116065077
8,UR125884080
2,UR115966058
2,UR107257497
2,UR120137528
2,UR126703555
2,UR118697207
2,UR119332463
2,UR105316971
2,UR121560849
2,UR116055581
2,UR128523814
2,UR126832478
2,UR120090369
2,UR116415096
2,UR117670226
2,UR116841084
6,UR114595023
2,UR116470737
3,UR110658644
2,UR118647258
3,UR113327231
3,UR118167668
2,UR117575414
