cluster,id
2,UR59700092
2,UR102978551
5,UR106602993
2,UR10153386
6,UR48518943
2,UR121090605
6,UR22124307
2,UR17271877
3,UR7154638
3,UR99718561
2,UR52363306
6,UR22145166
3,UR120894820
2,UR76719739
6,UR88367055
6,UR16295554
3,UR115505882
6,UR28006618
2,UR15646466
9,UR126785308
2,UR87614794
2,UR120041512
6,UR29108799
2,UR102108128
1,UR87602266
3,UR118453651
6,UR91602169
3,UR60933196
9,UR43960541
6,UR29800335
1,UR120383617
2,UR50808825
2,UR123329862
2,UR115932948
2,UR28958464
1,UR117288828
6,UR94286074
6,UR67715488
1,UR126401758
1,UR120067270
6,UR119747164
6,UR58272144
1,UR84964960
6,UR15783071
2,UR66749330
2,UR80368916
6,UR25670208
2,UR26587319
6,UR121437775
2,UR71084974
6,UR48348111
6,UR95129839
2,UR7715499
6,UR10012936
2,UR113352955
6,UR125917808
5,UR93404606
3,UR123914288
4,UR114873408
2,UR108723755
6,UR119234511
6,UR99567285
2,UR7840301
2,UR62145980
2,UR91783346
2,UR115766233
2,UR91525580
2,UR6540965
3,UR120541580
2,UR116134763
6,UR115033907
3,UR122094562
6,UR120717534
5,UR119781411
2,UR125354980
2,UR120095205
6,UR72607172
6,UR116284885
6,UR87046164
2,UR95231662
3,UR32024295
2,UR89180982
9,UR27513663
6,UR110620046
6,UR70921344
2,UR116726488
7,UR115506475
6,UR19432595
6,UR14653614
3,UR49908972
6,UR18137803
5,UR25483354
2,UR112608594
2,UR36927717
6,UR82404481
6,UR114682933
2,UR125385145
2,UR55743370
6,UR119916498
6,UR7992921
2,UR78068372
2,UR25864883
6,UR39069045
2,UR110638608
6,UR49647708
2,UR80423552
2,UR23784334
6,UR123040732
3,UR58255222
1,UR100277800
3,UR118463235
2,UR99056674
6,UR118087980
1,UR123936644
8,UR122371864
6,UR68535886
8,UR26873740
6,UR43727604
6,UR14974204
6,UR46108759
6,UR80539246
6,UR27612668
6,UR78849194
2,UR125699350
2,UR6907355
1,UR117381209
2,UR28811025
3,UR124646065
6,UR124524775
2,UR7328984
6,UR124074984
2,UR69406166
5,UR83731139
3,UR122517239
6,UR91806288
2,UR117053938
2,UR103256180
6,UR27540748
1,UR8131507
2,UR8255956
6,UR119442711
6,UR117642651
3,UR10906117
6,UR115179536
6,UR119719331
8,UR119648393
1,UR86183906
3,UR14440062
8,UR83954782
6,UR87178395
1,UR58171138
2,UR53162839
6,UR126474263
6,UR45808246
3,UR6544084
0,UR68672827
6,UR8399065
6,UR12405372
6,UR28035098
2,UR116494789
2,UR10832198
8,UR86964101
6,UR8503664
3,UR42282112
2,UR71400766
6,UR60878424
5,UR70818887
2,UR28773810
3,UR15221525
3,UR121829404
6,UR116346568
6,UR121513219
8,UR123359728
6,UR6649715
2,UR110001609
6,UR10933085
6,UR24064715
9,UR29135545
2,UR120602172
2,UR77169651
3,UR121361546
2,UR14738827
