cluster,id
6,UR126186862
3,UR136544152
6,UR118056704
8,UR65474332
2,UR139951091
2,UR115949725
3,UR124534724
2,UR122425787
6,UR74344647
2,UR83800564
4,UR66806804
6,UR125534211
6,UR70727033
0,UR122967029
3,UR62023410
3,UR117337810
6,UR129259594
3,UR121362792
2,UR124474100
6,UR117903633
2,UR63182173
1,UR48842105
1,UR124650161
2,UR64928290
2,UR115435937
6,UR131512127
2,UR124334849
2,UR95950666
1,UR137627167
2,UR120339771
2,UR115135027
6,UR117449602
6,UR131214489
6,UR69297281
7,UR118789965
1,UR129350883
5,UR137323006
1,UR116306047
2,UR131820085
6,UR131065144
6,UR93443390
6,UR116124174
6,UR123036310
3,UR120469244
2,UR120378132
6,UR117776256
3,UR120625671
2,UR122088687
9,UR78009605
6,UR118539811
6,UR115385574
1,UR116069498
6,UR130400168
6,UR129021748
2,UR89200944
6,UR118374620
6,UR116404194
1,UR123291061
