id,sentiment
UR127978981,0
UR127559582,1
UR127546739,1
UR126717419,0
UR125204326,1
UR123590193,1
UR123045765,0
UR122236694,1
UR120974849,1
UR120261414,0
UR119310735,1
UR117521100,0
UR105517357,1
UR105502035,1
UR101848723,0
UR96098967,1
UR93897790,1
UR93119288,1
UR88089141,1
UR87925466,0
UR83518795,1
UR60721985,1
UR56632163,1
UR55255565,1
UR51505000,1
UR47977212,1
UR43065759,1
UR40767694,0
UR32430308,1
UR28650127,1
UR27413597,0
UR25366901,1
UR21158912,1
UR20605683,1
UR16934535,1
UR15822725,0
UR10762861,0
UR7592614,1
UR7544888,0
UR6560963,0
UR6100393,1
UR6026878,1
UR5562152,1
UR5041038,1
UR4393379,1
UR4160365,1
UR4090500,0
UR3578962,1
