id,sentiment
UR127136176,1
UR126993617,1
UR126885885,1
UR126866269,1
UR126563109,1
UR126305704,1
UR126283943,1
UR126194714,1
UR125185525,1
UR125052724,1
UR125037341,1
UR125010310,1
UR124678911,1
UR124625547,1
UR124202274,1
UR123904722,1
UR123576471,1
UR123319654,1
UR123316378,1
UR122771482,0
UR122681692,1
UR122527730,1
UR122363493,1
UR122195482,1
UR121989810,1
UR121872395,0
UR121341114,1
UR121337852,1
UR121053587,1
UR120898490,1
UR120708603,1
UR120613730,1
UR120468509,1
UR120362538,1
UR120249142,1
UR120152088,1
UR119813778,1
UR119802261,0
UR119691503,1
UR119628916,1
UR119271969,1
UR118952774,1
UR118866511,1
UR118833182,1
UR118442728,1
UR118372995,1
UR118049023,1
UR117832986,1
UR117335154,1
UR117335112,1
UR117320904,1
UR117190399,1
UR117105364,1
UR116889811,0
UR116617819,0
UR116583097,1
UR116129022,1
UR116092321,0
UR116031966,0
UR115870387,1
UR115831694,1
UR115825933,1
UR115595888,1
UR115424192,1
UR115100876,1
UR115100221,1
UR115049685,0
UR114627739,1
UR114567096,1
UR113921416,1
UR112821500,1
UR112791814,0
