id,sentiment
UR126648853,1
UR126490645,0
UR126285186,1
UR123771865,0
UR118054371,0
UR115616650,1
UR109623495,0
UR107469556,0
UR104491294,0
UR95886022,1
UR88832285,0
UR85310195,0
UR81980178,0
UR79213187,0
UR79031100,0
UR72752015,0
UR62337630,1
UR62333366,1
UR55497366,1
UR34387679,1
UR14709124,0
UR12354517,1
UR12320012,1
UR10834431,0
UR8081315,0
UR7194025,1
UR6354116,0
UR5981420,1
UR5581594,1
UR5362409,0
UR5293237,1
UR5233635,0
UR5046237,0
UR4995674,0
UR4740285,1
UR4629794,0
UR4333994,1
UR4100520,1
UR3639728,0
UR3513526,1
UR3322456,1
UR3255181,1
UR3172832,1
UR2989959,1
UR2875372,1
UR2854301,1
UR2822976,1
UR2788217,0
UR2526219,0
UR2500868,0
