id,sentiment
UR127432322,1
UR126087551,0
UR118934763,1
UR118856513,1
UR115975384,0
UR115727185,1
UR115486971,0
UR113882305,0
UR105034113,1
UR67445934,1
UR64324029,0
UR46633639,1
UR45716420,1
UR25901304,1
UR22656727,1
UR21810859,1
UR21062760,0
UR18037748,1
UR17605712,0
UR17555199,1
UR17010407,1
UR14932142,1
UR14406519,1
UR12825953,1
UR10545825,1
UR10033199,0
UR10018124,1
UR8644590,1
UR8370299,1
UR8220792,1
UR8183614,1
UR8076401,0
UR7998744,0
UR7365352,1
UR7009603,1
UR6045664,1
UR6026108,1
UR5962485,1
UR5837170,1
UR5811983,1
UR5810505,0
UR5706884,1
