id,sentiment
UR126567560,1
UR125913013,1
UR125471774,0
UR124382198,1
UR123601871,1
UR123422019,1
UR121173729,0
UR120872144,1
UR118220259,1
UR117520510,0
UR117222686,1
UR116628111,0
UR116286980,1
UR115990920,1
UR115916316,1
UR115827492,1
UR115232315,0
UR115196047,1
UR114775057,1
UR112638348,1
UR108085114,1
UR99411789,0
UR94906669,0
UR92198875,1
UR80379457,1
UR77052354,1
UR69254676,1
UR68437799,1
UR65641065,1
UR65073075,1
UR57959409,1
UR57728893,1
UR52059921,0
UR37886456,0
UR31514339,1
UR26986883,0
UR23323665,0
UR21520350,0
UR18144063,1
UR17927155,0
UR15872295,0
UR13170431,0
UR8103373,1
UR7564854,1
UR3004538,0
UR2484078,0
