id,sentiment
UR128538675,0
UR128467366,1
UR127744525,1
UR127500349,1
UR127325976,0
UR127312922,1
UR127254146,1
UR127166639,1
UR126944660,1
UR126917661,1
UR126282026,1
UR126250433,1
UR126092277,1
UR126004265,1
UR125779948,1
UR125766681,0
UR125508047,1
UR125398838,1
UR125344412,1
UR125114688,0
UR124898564,0
UR124897902,1
UR124891483,1
UR124660544,0
UR123894680,1
UR123627732,1
UR123449633,1
UR123335714,0
UR122682841,1
UR122473620,1
UR122412793,1
UR122344312,1
UR121424778,1
UR121421014,0
UR121325468,1
UR121264448,0
UR120998968,1
UR120865954,1
UR120843390,1
UR120803050,1
UR120716218,1
UR120619951,1
UR120555912,1
UR120433147,1
UR120334156,1
UR120286612,1
UR119731242,1
UR119730043,1
UR119415195,1
UR119374422,1
UR119354146,1
UR119299544,0
UR119271685,1
UR119269198,1
UR119145709,0
UR119069393,1
UR118672767,0
UR118659024,1
UR118631335,1
UR118540494,1
UR118449774,1
UR118393407,1
UR118293387,0
UR118221291,1
UR117962471,0
UR117815311,1
UR117549956,1
UR117203346,0
UR116877030,1
UR116524006,1
UR116452542,1
UR116188210,1
UR115866630,1
UR115857895,1
UR115801790,1
UR115785616,1
UR115595790,0
UR115111084,1
UR115091028,1
UR115068673,1
UR114245171,1
UR113497808,1
UR110032087,0
UR109711952,1
UR108455358,1
UR106858056,1
UR105947000,1
UR105491314,1
UR102838031,1
UR101279852,1
UR100905262,1
UR100497851,1
UR98159430,0
UR97526115,0
UR97406691,1
UR97379695,1
UR94879125,1
UR94545723,1
UR94250362,1
UR93986067,1
UR92683343,0
UR92526360,1
UR92450493,1
UR91841949,1
UR88580588,1
UR88542908,1
UR88240827,1
UR87926079,1
UR87207759,1
UR86872869,1
UR86856740,1
UR86648381,1
UR85760091,1
UR85729831,1
UR85500764,0
UR85229795,1
UR84773300,1
UR82656167,1
UR82615660,1
UR82382086,1
UR81421561,1
UR81229168,1
UR81127195,1
UR80279037,1
UR79445519,0
UR78646516,1
UR78024818,1
UR77422079,1
UR76500013,0
UR76337510,0
UR75953836,1
UR75225078,1
UR74081174,1
UR73947272,1
UR72911549,1
UR72129491,1
UR71234604,1
UR70810382,1
UR70705284,1
UR70520797,0
UR70208405,1
UR70098413,1
UR70011263,0
UR69697110,1
UR69236852,1
UR68577319,1
UR68473191,0
UR67714497,1
UR66545355,1
UR66379610,1
UR66371414,1
UR66258980,1
UR65846621,1
UR65748303,1
UR64965144,1
UR63612017,1
UR62627583,1
UR61752525,1
UR60420234,0
UR58452844,1
UR57753484,0
UR57251712,1
UR56153533,1
UR55808801,1
UR54284365,1
UR54040273,1
UR52032536,1
UR51854444,1
UR49418488,1
UR49003773,1
UR48995398,1
UR48875357,1
UR48601592,1
UR47894486,1
UR47276008,1
UR46939307,1
UR46500262,1
UR46406474,1
UR46288981,1
UR46105252,1
UR45924638,1
UR45904329,1
UR45848991,1
UR45828556,1
UR42530358,1
UR39802530,1
UR39726483,1
UR39158115,1
UR38176598,1
UR38094227,1
UR37867796,1
UR36613738,1
UR36311153,0
UR35716224,1
UR35694801,1
UR35632154,1
UR34878363,1
UR34796286,1
UR34090544,1
UR34059215,1
UR33518260,1
UR32374780,1
UR32058127,0
UR31500972,1
UR31352483,1
UR30378272,0
UR30091535,0
UR30087476,1
UR29424928,1
UR29388804,1
UR27796911,0
UR27611914,1
UR27139742,0
UR26588993,1
UR26183697,1
UR25630051,1
UR25055159,1
UR25029564,0
UR24517509,1
UR23562433,1
UR23202150,1
UR23062875,1
UR22942699,1
UR22923849,1
UR22621132,1
UR22351258,0
UR22115257,1
UR21711673,0
UR21279982,1
UR20818591,1
UR20713944,1
UR20178933,1
UR19199416,0
UR19160729,0
UR19088495,1
UR19029804,1
UR18657476,1
UR18445591,0
UR18386355,0
UR18240146,1
UR18075105,1
UR17971798,1
UR17906938,1
UR17822265,1
UR17632921,0
UR17407709,1
UR17352572,0
UR16991513,1
UR16667159,1
UR16470544,0
UR15502837,1
UR15207418,1
UR14971656,1
UR14900639,0
UR14811722,0
UR14761150,1
UR14489216,1
UR14185955,1
UR13713728,1
UR13712197,1
UR13642681,1
UR13471986,1
UR13211330,1
UR13032917,1
UR12454627,1
UR12422976,1
UR12394125,1
UR12013854,1
UR11287918,1
UR11075878,0
UR11063586,1
UR10964356,1
UR10807022,1
UR10594800,1
UR10565893,1
UR10505073,1
UR10381854,1
UR10378661,1
UR10098066,1
UR10090434,1
UR10042374,1
UR10033616,1
UR8697844,0
UR8697091,1
UR8507851,1
UR8497072,1
UR8466068,1
UR8449367,1
UR8383066,1
UR8350565,1
UR7591809,0
UR7566501,1
UR7477712,1
UR7434937,0
UR7430329,1
UR7341597,0
UR7281143,1
UR7172731,1
