id,sentiment
UR710265041,1
UR918419174,1
UR987921642,1
UR460031560,1
UR633251996,1
UR126831617,1
UR500470089,1
UR558189110,1
UR795069427,1
UR371799591,1
UR192472297,1
UR102293103,1
UR536789042,1
UR722849972,1
UR973297591,1
UR892108877,1
UR297916105,1
UR964780787,1
UR504928505,1
UR184571657,1
UR594821895,1
UR362187015,0
UR253468994,1
UR164035093,1
UR587175658,1
UR499220071,1
UR163277583,1
UR903353861,1
UR909391607,1
UR396500585,1
UR458412886,1
UR711141250,0
UR389554689,1
UR723471306,1
UR238274130,1
UR539265528,1
UR592179662,1
UR990066519,1
UR501506180,1
UR137294026,1
UR126896683,1
UR781948859,0
UR936433670,1
UR302512047,1
UR836909992,1
UR457973972,1
UR469351959,1
UR119249610,1
UR793998546,1
UR424391088,1
UR806178138,1
UR537220373,1
UR502283674,1
UR265292830,1
UR532070854,1
UR216652966,1
UR981816808,1
UR713159571,1
UR252743635,1
UR796128175,1
UR186371583,1
UR702354007,1
UR854736892,1
UR588130314,1
UR274780170,1
UR709577639,1
UR291961203,1
UR506785189,1
UR294629471,1
UR889622544,1
UR718546482,1
UR575303039,1
UR606149044,1
UR883367856,1
UR800188673,1
UR560469248,1
